FirstName,LastName,NetID,Email
John,O'Toole,jotoole,jotoole@example.com
Rich,vonBaron,rvonbaron,rvonbaron@example.com
Diana,Pedagno,dpedagno,dpedagno@example.com
Nicholas,Sparks,nsparks,nsparks@example.com
David,Robinson,drobinson,drobinson@example.com
Kim,Smith,ksmith,ksmith@example.com
Lisa,Lee,llee,llee@example.com
Charles,Vota,cvota,cvota@example.com
Cole,Thompson,cthompson,cthompson@example.com
Mickey,M. Cheese,mmcheese,mmcheese@example.com
Andrew,Seawolf,aseawolf,aseawolf@example.com
Matthew,Seuss,mseuss,mseuss@example.com
Patricia,Silverstein,psilverstein,psilverstein@example.com
Shawn,Rawling,srawling,srawling@example.com
Marty,McFly,mmcfly,mmcfly@example.com
Anvika,.,a,a@example.com
Eric,Abia,eabia,eabia@example.com
Peter,Aclander,paclander,paclander@example.com
Nichole,Afridi,nafridi,nafridi@example.com
Tara,Ahyad,tahyad,tahyad@example.com
Rose,Alafati,ralafati,ralafati@example.com
Jarrod,Ali,jali,jali@example.com
Anthony,Alsaloum,aalsaloum,aalsaloum@example.com
Rich,Ampuero Ruiz,rampueroruiz,rampueroruiz@example.com
Rich,Anigbogu,ranigbogu,ranigbogu@example.com
Cole,Apter,capter,capter@example.com
Christopher,Arjun,carjun,carjun@example.com
Kris,Ashiru-Balogun,kashiru-balogun,kashiru-balogun@example.com
Tony,Austin,taustin,taustin@example.com
A M Munwar,Babcock,ababcock,ababcock@example.com
Abiemwense,Bak,abak,abak@example.com
Aditya,Bandi,abandi,abandi@example.com
Aijaz,Barker,abarker,abarker@example.com
Alby,Bartoloni,abartoloni,abartoloni@example.com
Alina,Beale,abeale,abeale@example.com
Aman,Belfort,abelfort,abelfort@example.com
Amro,Benson,abenson,abenson@example.com
Andres,Berry,aberry,aberry@example.com
Aniska,Bhrugubanda,abhrugubanda,abhrugubanda@example.com
Antonio,Binning,abinning,abinning@example.com
Argentine,Blaszczyk,ablaszczyk,ablaszczyk@example.com
Arthur,Boggavarapu,aboggavarapu,aboggavarapu@example.com
Asli,Bonga,abonga,abonga@example.com
Aybuke,Boskamp,aboskamp,aboskamp@example.com
Barbora,Braginsky,bbraginsky,bbraginsky@example.com
Beronica,Brett,bbrett,bbrett@example.com
Bingxu,Bross,bbross,bbross@example.com
Boyue,Buccilli,bbuccilli,bbuccilli@example.com
Britney,Burgess,bburgess,bburgess@example.com
Caixuan,Button,cbutton,cbutton@example.com
Carmen,Caiola,ccaiola,ccaiola@example.com
Cerise,Campanelli,ccampanelli,ccampanelli@example.com
Chaofan,Capolongo,ccapolongo,ccapolongo@example.com
Chengde,Carlisle,ccarlisle,ccarlisle@example.com
Chidubem,Carvajal,ccarvajal,ccarvajal@example.com
